drug_name,cid,origin
UNC10225069A,25263108,LINCS
UNC10225070A,53317178,LINCS
UNC10225071A,66561090,LINCS
UNC10225072A,11529890,LINCS
UNC10225073A,6539426,LINCS
UNC10225074A,44532552,LINCS
UNC10225075A,51356855,LINCS
UNC10225076A,44529278,LINCS
UNC10225079A,44532690,LINCS
UNC10225080A,44525951,LINCS
UNC10225081A,44529262,LINCS
UNC10225082A,5329826,LINCS
UNC10225083A,51357138,LINCS
UNC10225084A,135545443,LINCS
UNC10225086A,44525965,LINCS
UNC10225087A,6539512,LINCS
UNC10225088A,44525922,LINCS
UNC10225089A,46927672,LINCS
UNC10225090A,6539475,LINCS
UNC10225091A,44532554,LINCS
UNC10225092A,6539458,LINCS
UNC10225093A,44525942,LINCS
UNC10225094A,44532477,LINCS
UNC10225095A,44397393,LINCS
UNC10225096A,44532737,LINCS
UNC10225097A,9901062,LINCS
UNC10225098A,44525967,LINCS
UNC10225099A,44532261,LINCS
UNC10225100A,44525964,LINCS
UNC10225101A,44571415,LINCS
UNC10225103A,51356856,LINCS
UNC10225104A,44525935,LINCS
UNC10225105A,44525954,LINCS
UNC10225106A,44532446,LINCS
UNC10225107A,134158116,LINCS
UNC10225109A,44532526,LINCS
UNC10225110A,44525930,LINCS
UNC10225111A,44525949,LINCS
UNC10225112A,44525920,LINCS
UNC10225113A,44525941,LINCS
UNC10225114A,136109070,LINCS
UNC10225116A,9879605,LINCS
UNC10225117A,44526983,LINCS
UNC10225118A,9903786,LINCS
UNC10225119A,53466728,LINCS
UNC10225121A,6539477,LINCS
UNC10225122A,9880709,LINCS
UNC10225123A,69689,LINCS
UNC10225124A,44525962,LINCS
UNC10225125A,9836405,LINCS
UNC10225126A,10358578,LINCS
UNC10225127A,25263079,LINCS
UNC10225128B,44533820,LINCS
UNC10225129A,44525963,LINCS
UNC10225130B,44532475,LINCS
UNC10225131A,57403577,LINCS
UNC10225132A,15407403,LINCS
UNC10225133A,11429863,LINCS
UNC10225134A,44525936,LINCS
UNC10225135A,44525952,LINCS
UNC10225136A,57403578,LINCS
UNC10225137A,6539519,LINCS
UNC10225138A,6539416,LINCS
UNC10225139A,44532869,LINCS
UNC10225140A,6539591,LINCS
UNC10225141A,44532377,LINCS
UNC10225143A,51354901,LINCS
UNC10225144A,135435008,LINCS
UNC10225145A,44527950,LINCS
UNC10225146A,11514099,LINCS
UNC10225147A,44525932,LINCS
UNC10225148A,51354328,LINCS
UNC10225149A,99545,LINCS
UNC10225150A,6539507,LINCS
UNC10225151A,44526068,LINCS
UNC10225152A,44525931,LINCS
UNC10225153A,25263105,LINCS
UNC10225154A,44526248,LINCS
UNC10225155A,44532683,LINCS
UNC10225156A,86064662,LINCS
UNC10225157A,44525948,LINCS
UNC10225158A,56673950,LINCS
UNC10225160A,44525956,LINCS
UNC10225161A,44525923,LINCS
UNC10225162A,44525961,LINCS
UNC10225163A,5228,LINCS
UNC10225164A,44525934,LINCS
UNC10225165A,53469448,LINCS
UNC10225166A,53245731,LINCS
UNC10225167A,57401865,LINCS
UNC10225168A,6539452,LINCS
UNC10225169A,9861063,LINCS
UNC10225170A,44531021,LINCS
UNC10225172A,53467392,LINCS
UNC10225173A,44328970,LINCS
UNC10225174A,44528968,LINCS
UNC10225175A,45270417,LINCS
UNC10225177A,44525945,LINCS
UNC10225178A,70685440,LINCS
UNC10225180A,6539612,LINCS
UNC10225181A,45272982,LINCS
UNC10225182A,135925142,LINCS
UNC10225183A,44525955,LINCS
UNC10225184A,11595752,LINCS
UNC10225185A,6263849,LINCS
UNC10225186A,6539550,LINCS
UNC10225188A,11627271,LINCS
UNC10225189A,44532432,LINCS
UNC10225190A,134158164,LINCS
UNC10225191A,6539376,LINCS
UNC10225192A,6539427,LINCS
UNC10225193A,44525972,LINCS
UNC10225194A,17917696,LINCS
UNC10225195A,57403579,LINCS
UNC10225197A,10239038,LINCS
UNC10225198A,135416046,LINCS
UNC10225199A,44525966,LINCS
UNC10225200A,44526076,LINCS
UNC10225201A,9796486,LINCS
UNC10225202A,57398392,LINCS
UNC10225203A,227502,LINCS
UNC10225204A,86064664,LINCS
UNC10225205A,56680318,LINCS
