LINCS_name,cid
UNC10225233A,NA
UNC10225234A,NA
UNC10225235A,NA
UNC10225236A,NA
UNC10225238A,NA
UNC10225239A,NA
UNC10225240A,NA
UNC10225241A,NA
UNC10225242A,NA
UNC10225243A,NA
UNC10225244A,NA
UNC10225245A,NA
UNC10225247A,NA
UNC10225248A,NA
UNC10225249A,NA
UNC10225250A,NA
UNC10225251A,NA
UNC10225252A,NA
UNC10225253A,NA
UNC10225254A,NA
UNC10225255A,NA
UNC10225256A,NA
UNC10225257A,NA
UNC10225258A,NA
UNC10225259A,NA
UNC10225260A,NA
UNC10225261A,NA
UNC10225262A,NA
UNC10225263A,NA
UNC10225264A,NA
UNC10225265A,NA
UNC10225267A,NA
UNC10225268A,NA
UNC10225269A,NA
UNC10225270A,NA
UNC10225271A,NA
UNC10225273A,NA
UNC10225274A,NA
UNC10225275A,NA
UNC10225276A,NA
UNC10225277A,NA
UNC10225278A,NA
UNC10225279B,NA
UNC10225280A,NA
UNC10225281A,NA
UNC10225282A,NA
UNC10225285A,NA
UNC10225286A,NA
UNC10225287A,NA
UNC10225288A,NA
UNC10225289A,NA
UNC10225290A,NA
UNC10225291A,NA
UNC10225292A,NA
UNC10225293A,NA
UNC10225294A,NA
UNC10225297A,NA
UNC10225298A,NA
UNC10225299A,NA
UNC10225300A,NA
UNC10225301A,NA
UNC10225302A,NA
UNC10225303A,NA
UNC10225304A,NA
UNC10225305A,NA
UNC10225306A,NA
UNC10225308A,NA
UNC10225309A,NA
UNC10225311A,NA
UNC10225312A,NA
UNC10225313A,NA
UNC10225314A,NA
UNC10225315A,NA
UNC10225316A,NA
UNC10225317A,NA
UNC10225318A,NA
UNC10225319A,NA
UNC10225320A,NA
UNC10225321A,NA
UNC10225322A,NA
UNC10225323A,NA
UNC10225325A,NA
UNC10225326A,NA
UNC10225327A,NA
UNC10225328A,NA
UNC10225329A,NA
UNC10225330A,NA
UNC10225331A,NA
UNC10225332A,NA
UNC10225333A,NA
UNC10225334A,NA
UNC10225334B,NA
UNC10225335A,NA
UNC10225336A,NA
UNC10225337A,NA
UNC10225338A,NA
UNC10225339A,NA
UNC10225340A,NA
UNC10225342A,NA
UNC10225343A,NA
UNC10225344A,NA
UNC10225345A,NA
UNC10225346A,NA
UNC10225347A,NA
UNC10225348A,NA
UNC10225349A,NA
UNC10225350A,NA
UNC10225351A,NA
UNC10225352A,NA
UNC10225353A,NA
UNC10225354A,NA
UNC10225355A,NA
UNC10225356A,NA
UNC10225357A,NA
UNC10225358A,NA
UNC10225359A,NA
UNC10225360A,NA
UNC10225361A,NA
UNC10225362A,NA
UNC10225363A,NA
UNC10225364A,NA
UNC10225365A,NA
UNC10225367A,NA
UNC10225369A,NA
UNC10225370A,NA
UNC10225372A,NA
UNC10225373A,NA
UNC10225374A,NA
UNC10225375A,NA
UNC10225376A,NA
UNC10225377A,NA
UNC10225378A,NA
UNC10225379A,NA
UNC10225381A,NA
UNC10225382A,NA
UNC10225384A,NA
UNC10225386A,NA
UNC10225387B,NA
UNC10225388A,NA
UNC10225389A,NA
UNC10225390A,NA
UNC10225391A,NA
UNC10225392A,NA
UNC10225393A,NA
UNC10225395A,NA
UNC10225396A,NA
UNC10225397A,NA
UNC10225398A,NA
UNC10225399A,NA
UNC10225400A,NA
UNC10225401A,NA
UNC10225402A,NA
UNC10225403A,NA
UNC10225404A,NA
UNC10225405A,NA
UNC10225406A,NA
UNC10225407A,NA
UNC10225410A,NA
UNC10225411A,NA
UNC10225412A,NA
UNC10225413A,NA
UNC10225414A,NA
UNC10225415A,NA
UNC10225416A,NA
UNC10225417A,NA
UNC10225418A,NA
UNC10225419A,NA
UNC10225420A,NA
UNC10225420B,NA
UNC10225421A,NA
UNC10225422A,NA
UNC10225424A,NA
UNC10225425A,NA
UNC10225426A,NA
UNC10225427A,NA
UNC10225428A,NA
UNC10225429A,NA
UNC10225431A,NA
UNC10225432A,NA
UNC10225433A,NA
UNC10225434A,NA
UNC10225435A,NA
UNC10225436A,NA
UNC10225437A,NA
UNC10225438A,NA
UNC10225439A,NA
UNC10225440A,NA
UNC10225441A,NA
UNC10225443A,NA
UNC10225444A,NA
UNC10225445A,NA
UNC10225447A,NA
UNC10225448A,NA
UNC10225449A,NA
UNC10225450A,NA
UNC10225451A,NA
UNC10225452A,NA
UNC10225453A,NA
UNC10225454A,NA
UNC10225455A,NA
UNC10225456A,NA
UNC10225457A,NA
UNC10225458A,NA
UNC10225459A,NA
UNC10225460A,NA
UNC10225462A,NA
UNC10225463A,NA
UNC10225464A,NA
UNC10225466A,NA
UNC10225467A,NA
UNC10225468A,NA
UNC10225471A,NA
UNC10225473A,NA
UNC10225474A,NA
UNC10225475A,NA
UNC10225477A,NA
UNC10225478A,NA
UNC10225479A,NA
UNC10225480A,NA
UNC10225481A,NA
UNC10225482A,NA
UNC10225483A,NA
UNC10225484A,NA
UNC10225486A,NA
UNC10225487A,NA
UNC10225488A,NA
UNC10225489A,NA
UNC10225490A,NA
UNC10225491A,NA
UNC10225492A,NA
UNC10225493A,NA
UNC10225494A,NA
UNC10225496A,NA
UNC10225497A,NA
UNC10225498A,NA
UNC10225499A,NA
UNC10225500A,NA
UNC10225501A,NA
UNC10225502A,NA
UNC10225503A,NA
UNC10225504A,NA
UNC10243858A,NA
UNC10243859A,NA
UNC10243860A,NA
UNC10243861A,NA
UNC10243862A,NA
UNC10243863A,NA
UNC10243880A,NA
UNC10243881A,NA
UNC10244034A,NA
AKI00000001a,NA
AKI00000002a,NA
AKI00000003a,NA
AKI00000004a,NA
AKI00000005a,NA
AKI00000006a,NA
AKI00000007a,NA
AKI00000008a,NA
AKI00000009a,NA
AKI00000010a,NA
AKI00000011a,NA
AKI00000012a,NA
AKI00000013a,NA
AKI00000014a,NA
AKI00000015a,NA
AKI00000016a,NA
AKI00000017a,NA
AKI00000018a,NA
AKI00000019a,NA
AKI00000020a,68195404
AKI00000021a,NA
AKI00000022a,NA
AKI00000023a,NA
AKI00000024a,NA
AKI00000025a,NA
AKI00000026a,NA
AKI00000027a,NA
AKI00000028a,NA
AKI00000029a,NA
AKI00000030a,NA
AKI00000031a,NA
AKI00000032a,NA
AKI00000033a,NA
AKI00000034a,NA
AKI00000035a,NA
AKI00000036a,NA
AKI00000037a,NA
AKI00000038a,NA
AKI00000039a,NA
AKI00000040a,NA
AKI00000041a,NA
AKI00000042a,NA
AKI00000043a,NA
AKI00000044a,NA
AKI00000045a,NA
AKI00000046a,NA
AKI00000047a,NA
AKI00000048a,NA
AKI00000049a,NA
AKI00000050a,NA
AKI00000051a,NA
AKI00000052a,NA
AKI00000053a,NA
AKI00000054a,NA
AKI00000055a,NA
AKI00000056a,NA
AKI00000057a,NA
AKI00000058a,NA
AKI00000059a,NA
AKI00000061a,NA
AKI00000062a,49830468
AKI00000063a,NA
AKI00000064a,NA
AKI00000065a,NA
AKI00000066a,NA
AKI00000067a,NA
AKI00000068a,NA
AKI00000069a,NA
AKI00000070a,NA
