drug_name,cid,origin,smiles
PFE-PKIS 8,53344620,LINCS,C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)N4CCCC4
PFE-PKIS 9,53484073,LINCS,C1=CC2=C(C=C1C3=CC4=C(S3)C(=NC=N4)OCC(=O)O)C=NN2
SB-210486,10452739,LINCS,C1=CC=C(C=C1)CNCCCN2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F
SB-226605,23133388,LINCS,CCNC1=NC=CC(=N1)C2=C(N=CN2C3CCN(CC3)C)C4=CC=C(C=C4)F
UNC10225272A,14308053,LINCS,CC1=CC=CC=C1N2C=NC3=C(N=CN=C32)N
UNC10225284A,44305910,LINCS,C1=CC(=CC(=C1)F)N2C=NC3=C(N=CN=C32)N
TPKI-100,9958506,LINCS,COC(=O)C1=C(C2=C(C=CC(=C2)Br)C(=O)N1CC3=CC=C(C=C3)S(=O)(=O)C)C4=CC=CC=C4
TPKI-101,10195059,LINCS,CCC(=O)C1=C(C2=C(C=CC(=C2)Cl)C(=O)N1CC3=CC=C(C=C3)C(=O)O)C4=CC=CC=C4
TPKI-102,11213972,LINCS,CCC(=O)C1=C(C2=C(C=CC(=C2)Cl)C(=O)N1CC3=NN(C(=C3)C(=O)NC4CC4)C)C5=CC=CC=C5
TPKI-103,44451560,LINCS,CCC(=O)C1=C(C2=C(C=CC(=C2)Cl)C(=O)N1CC3=NN(C(=C3)S(=O)(=O)C)CC(F)F)C4=CC=CC=C4
TPKI-104,44451561,LINCS,CCC(=O)C1=C(C2=C(C=CC(=C2)Cl)C(=O)N1CC3=NN(C(=C3)S(=O)(=O)C)CCC(C)(C)O)C4=CC=CC=C4
TPKI-105,11678117,LINCS,CCC(=O)C1=C(C2=C(C=CC(=C2)Cl)C(=O)N1CC3=NN(C(=C3)S(=O)(=O)C)CC(=O)N)C4=CC=CC=C4
TPKI-106,11277481,LINCS,CCC1=NC(=C(S1)C2=CC=NC=C2)C3=CC=CC(=C3)C
TPKI-107,9952773,LINCS,CCC1=NC(=C(S1)C2=CC(=NC=C2)NC(=O)C3=CC=CC=C3)C4=CC=CC(=C4)C
TPKI-108,10134696,LINCS,CCC1=NC(=C(S1)C2=CC(=NC=C2)NCC3=CC=CC=C3)C4=CC=CC(=C4)C
TPKI-109,11418329,LINCS,CC1=CC(=CC=C1)C2=C(SC(=N2)C3=CC=C(C=C3)S(=O)(=O)C)C4=CC=NC=C4
