drug,cid
UNC10225232A,44527603
UNC10225233A,44532198
UNC10225234A,49862093
UNC10225235A,44525933
UNC10225236A,10289896
UNC10225238A,44527400
UNC10225239A,45271247
UNC10225240A,44525925
UNC10225241A,9925372
UNC10225242A,6539523
UNC10225243A,11594774
UNC10225244A,6539497
UNC10225245A,44526894
UNC10225247A,10286382
UNC10225248A,9925594
UNC10225249A,21027446
UNC10225250A,9914412
UNC10225251A,10274521
UNC10225252A,6539480
UNC10225253A,44525927
UNC10225254A,53469453
UNC10225255A,6539516
UNC10225257A,44528328
UNC10225258A,44328896
UNC10225259A,6539578
UNC10225260A,25263084
UNC10225261A,44523335
UNC10225262A,49862643
UNC10225263A,44526069
UNC10225264A,6539565
UNC10225267A,6539486
UNC10225268A,44532669
UNC10225269A,44528306
UNC10225270A,44578252
UNC10225271A,44528496
UNC10225273A,44532639
UNC10225274A,9929101
UNC10225275A,6539472
UNC10225278A,44525939
UNC10225279B,44532551
UNC10225282A,44525959
UNC10225285A,25093464
UNC10225286A,6539506
UNC10225287A,44529229
UNC10225288A,6539461
UNC10225289A,447966
UNC10225290A,44532445
UNC10225291A,44433573
UNC10225292A,6539602
UNC10225293A,6539513
UNC10225294A,1489204
UNC10225297A,53467178
UNC10225299A,6539473
UNC10225300A,6539605
UNC10225301A,11370662
UNC10225302A,44305812
UNC10225303A,6539464
UNC10225304A,6539541
UNC10225305A,9923028
UNC10225306A,44525960
UNC10225308A,44525485
UNC10225309A,11231979
UNC10225311A,44525970
UNC10225312A,6539570
UNC10225313A,44525937
UNC10225314A,44529831
UNC10225317A,6539610
UNC10225318A,44529101
UNC10225319A,11524582
UNC10225320A,10595057
UNC10225322A,44532297
UNC10225323A,51356854
UNC10225325A,44528946
UNC10225326A,6539587
UNC10225327A,10267580
UNC10225329A,44525928
UNC10225330A,44525946
UNC10225331A,51354035
UNC10225332A,57401867
UNC10225334A,469038
UNC10225334A,469038
UNC10225334B,469038
UNC10225334B,469038
UNC10225335A,44525973
UNC10225336A,44527001
UNC10225337A,22477600
UNC10225338A,6539496
UNC10225339A,11373846
UNC10225340A,44306199
UNC10225342A,44529112
UNC10225343A,57396627
UNC10225344A,46214650
UNC10225345A,44532202
UNC10225346A,6539504
UNC10225347A,44525944
UNC10225348A,49862644
UNC10225349A,44526800
UNC10225350A,6539586
UNC10225351A,49798353
UNC10225352A,11712734
UNC10225353A,2409198
UNC10225354A,156422
UNC10225355A,57398391
UNC10225357A,44336137
UNC10225358A,6539428
UNC10225359A,44526072
