BROMOscan Gene Symbol,Common Inhibitor Name,CBIS Compound Name,KD,St.Dev.,n,KD Units,Inhibitor SMILE
"BRD2(1,2)",CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BRD2(2),CBP30-383,BDOIA383,3600,630,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BRD3(1),CBP30-383,BDOIA383,1400,230,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
"BRD3(1,2)",CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BRD3(2),CBP30-383,BDOIA383,4600,124,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BRD4(1),CBP30-383,BDOIA383,700,33,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
"BRD4(1,2)",CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BRD4(2),CBP30-383,BDOIA383,6900,300,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
"BRD4(full-length,short-iso.)",CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BRD7,CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BRD8(1),CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BRD8(2),CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
